,名称/规格,规格,批准文号,月售,评分,currentPrice,originalPrice
0,提高免疫抗感冒组包12粒x2板(氨酚烷胺)+1gx10片(力度伸),,,月售6份,评分4,39.5,
1,感冒用药(复方氨酚烷胺胶囊+蓝芩口服液+川贝清肺糖浆),,,月售5份,,69.8,
2,慢严舒柠 复方青橄榄利咽含片(铁) 8片/袋×4袋/盒,0.5g*32片,国药准字B20050002,月售22份,评分4.2,9.9,29.8
3,拜耳 氢溴酸右美沙芬糖浆 100ml,100ML*1瓶,国药准字H10940241,月售3份,评分4,35.8,
4,以岭 连花清瘟胶囊 0.35g*48粒,0.35G*48粒,国药准字Z20040063,月售57份,评分4,21.1,38.8
5,999 复方感冒灵颗粒 14g*15袋,14g*15袋,国药准字Z43020334,月售22份,,29.8,
6,济民 黄氏响声丸 0.133g*36丸*4板,113m*36丸*4板,国药准字Z32020461,月售2份,,43.8,
7,同仁堂 养阴清肺丸 30g,30g,国药准字Z11020180,,,30.2,
8,香雪 复方感冒灵颗粒 14g*16袋,14g*16袋,国药准字Z20090855,月售4份,,29.8,
9,贵州百灵 双羊喉痹通颗粒 10g*6袋,10G*6袋,国药准字Z20025355,,,30.2,
10,甜爽 桔贝合剂 10ml*6支,10ml*6支,国药准字Z20053850,,评分4,39.8,
11,仁和可立克 风热感冒颗粒 10g*9袋,10g*9袋,国药准字Z37020003,月售4份,,29.4,
12,葵花 秋梨润肺膏 150g,150g,国药准字Z20053402,月售2份,,37.8,
13,天士力 痰咳净滴丸 120s/瓶,120丸,国药准字Z20120029,,评分5,37.8,
14,慢严舒柠 清喉利咽颗粒（乳糖型）5g*18袋,5g*18袋,国药准字Z20053117,月售4份,评分4,59,
15,慢严舒柠 清喉利咽颗粒(无蔗糖型) 5g×18袋,5gX18袋,国药准字Z20083435,月售1份,评分4,62,
16,可威 磷酸奥司他韦胶囊 75mg*2粒/盒,75mg*2粒,国药准字H20065415,,,55,
17,仁和 盐酸氨溴索口服溶液 10ml*12支,10ml*12支,国药准字H20065840,月售1份,,32.3,
18,仁和 风寒咳嗽颗粒 5gx8袋/盒,5gX8袋,国药准字Z53020984,月售2份,,29.5,
19,仁和 肺宁颗粒 10gx9袋,10gx9袋,国药准字Z22023003,月售2份,,36,
20,仁和 雪梨膏 150g,150g*1瓶/盒,国药准字Z42021449,,评分4,29.8,
21,仁和 清热感冒颗粒 15gx8袋,15gx8袋,国药准字Z45021431,月售1份,,29.9,
22,京都念慈菴 蜜炼川贝枇杷膏 150ml,150mL,进口药品注册证ZC20100004,月售41份,评分4.1,29.8,
23,999 感冒灵胶囊 0.5g*12粒,0.5g*12粒,国药准字Z44021939,月售36份,评分4.2,15.7,23.1
24,同仁堂 感冒清热颗粒(无糖型) 6g*10袋,6g*10袋,国药准字Z11020361,月售23份,,11.6,22.5
25,江中 复方草珊瑚含片 0.44g*12片*4板（不含蔗糖）,0.44g*12s*4板（薄膜衣）,国药准字Z36021460,月售14份,,8.4,11
26,都乐 金嗓子喉片(铁盒) 2g*16片,2g*8片*2板,国药准字B20020993,月售9份,,19.1,23
27,天施康 复方鲜竹沥液 10ml*10支,10ml*10支,国药准字Z36021505,月售13份,,16,
28,松栢 清咽滴丸 20mg*50s*2瓶,20mg*50S*2瓶,国药准字Z10930004,月售5份,评分5,37.2,
29,桂龙药业 桂龙咳喘宁胶囊 0.5g×12粒/板×4板,0.5g*48粒,国药准字Z20053135,,,63.8,
30,特一 止咳宝片 0.35g*36片,0.35g*36片,国药准字Z10900030,月售3份,,37.8,
31,云南白药 清肺抑火片 0.6g*24片,0.6g*12s*2板,国药准字Z53020920,,,12,
32,仁和 川贝雪梨膏 180g,180g*1瓶/盒,国药准字Z42020054,月售2份,评分4,18.8,
33,切诺 桉柠蒎肠溶软胶囊 0.3g*15粒,0.3g*15粒,国药准字H20052401,月售4份,,36,
34,杨济生 金果饮 15ml*10支,15ml*10支,国药准字Z36021375,月售1份,评分4,18.9,
35,散列通 复方对乙酰氨基酚片(Ⅱ)20片,10片*2板,国药准字H20013003,,评分4,19.4,
36,快克 复方氨酚烷胺胶囊 16粒,8s*2板,国药准字H46020636,月售61份,评分4.2,8.1,20.5
37,慢严舒柠 咽炎片 0.25g*15片*2版,0.25g*30片,国药准字Z61020304,月售47份,评分4.2,9.7,26.8
38,扬子江 苏黄止咳胶囊 0.45g*9粒,0.45g*9粒,国药准字Z20103075,月售1份,,38,
39,京都念慈菴 蜜炼川贝枇杷膏 300ml,300mL,注册证号ZC20160006,月售17份,评分4.4,38.61,39.9
40,贵州百灵 维C银翘片 24片,12s*2板,国药准字Z52020455,月售15份,评分4,5.5,
41,【处方药】同仁堂 利咽灵片 0.32g*30片,0.32g*30片,国药准字Z11020295,月售1份,,32.8,
42,同仁堂 养阴清肺丸 9g*10丸,9g*10丸,国药准字Z11020180,,,38.5,
43,江中 复方草珊瑚含片 1g*24片,1g*6s*4板（薄膜衣）,国药准字Z36021461,月售2份,评分4.2,15,
44,仁和 复方氨酚烷胺胶囊 24粒,24粒,国药准字H20068169,月售8份,评分4.3,15.7,25
45,仁和 川贝清肺糖浆 100ml,100mL,国药准字Z36021507,月售11份,,22.8,
46,新汇 蛇胆川贝枇杷膏 207g,207G,国药准字Z43020071,,,47.3,
47,欧意 氨茶碱片 0.1g*100片,0.1g*100片,国药准字H13021033,,,7.9,
48,【处方药】舒弗美 茶碱缓释片 0.1g*24片,0.1g*24片,国药准字H44023791,月售2份,,7.2,
49,白云山 感冒灵颗粒 10g*9袋,10g*9袋,国药准字Z44021754,,评分4.5,19.5,
50,散列通 复方对乙酰氨基酚片(Ⅱ) 10片,10片,国药准字H20013003,月售1份,评分4,13.4,
51,葵花     消咳喘糖浆 100ml 盒,100mL,国药准字Z23022147,,,16,
52,【处方药】同仁堂 加味感冒丸 4g*10袋,4g*10袋,国药准字Z20025712,,,39.6,
53,【处方药】同仁堂  羚羊清肺丸  6g*20粒,6g*20粒,国药准字Z11020088,月售3份,评分5,49,
54,[曙光]对乙酰氨基酚片,,,月售1份,评分4,4.7,
55,999 感冒清热颗粒 12g*10袋,12g*10袋,国药准字Z37021184,月售13份,评分4.2,14.7,18
56,仁和 复方感冒灵颗粒 14g*8袋,14g*8袋,国药准字Z45022221,月售2份,评分4.5,15.8,
57,金龙 痰咳净片 0.2g*36片,0.2g*36片,国药准字Z44020588,月售1份,评分4,18.9,
58,先声 咳喘宁口服液 10ml*8支/盒,10ML*8支,国药准字Z32020967,月售1份,评分5,26.8,
59,仁和 蛇胆川贝液 10ml*9支,10ml*9支,国药准字Z20053821,月售2份,评分5,19.8,
60,富露施 乙酰半胱氨酸片 0.2g*20s,0.2g*20S,国药准字H20080325,,,45.7,
61,仁和 小柴胡颗粒 10g*9袋,10g*9袋,国药准字Z20054063,月售5份,,17.5,
62,仁和可立克 复方氨酚烷胺胶囊 8粒*2板,8粒*2板,国药准字H20068169,月售12份,评分4.1,17.5,
63,[仁和]维C银翘片18片x1板,,,月售8份,评分4.2,5.3,
64,万通 感通片 0.32g*12片*2板,24片,国药准字Z20059015,,,26.8,
65,仁和 午时茶颗粒 18袋,6g*18袋/盒,国药准字Z42021582,月售3份,评分5,14.3,
66,仁和可立克 感冒软胶囊 0.425g*36粒,0.425g*36粒,国药准字Z20083210,月售4份,评分4,22,
67,阿斯美 复方甲氧那明胶囊 60粒,60粒*1瓶,国药准字H20033669,月售2份,评分4,52,
68,仁和 感冒灵颗粒 10g*11袋,10g*11袋,国药准字Z44021019,月售5份,评分4,19.7,
69,同仁堂 川贝枇杷糖浆 150ml,150mL,国药准字Z11020980,月售2份,评分4.6,51.5,
70,仁和 咽炎片  0.25g*45片,0.25g*45片,国药准字Z20093479,月售5份,,18,
71,江中 复方草珊瑚含片 1.0g*18片,1.0g*18片,国药准字Z36021416,月售2份,评分4,18.9,
72,仁和 咳嗽糖浆 100ml,100mL,国药准字Z36021789,月售2份,评分4.3,23,
73,999 感冒灵颗粒 10g*9袋,10g*9袋,国药准字Z44021940,月售175份,评分4.2,3.4,18
74,金嗓子 金嗓子喉片 6片2板 （新老包装随机）,2g*6s*2板,国药准字B20020993,月售139份,评分4.2,6.6,12.9
75,同仁堂 感冒清热颗粒(有糖 ) 12g*10袋,12g*10袋,国药准字Z11020361,月售57份,评分4,11.3,12.8
76,以岭 连花清瘟胶囊 0.35g*24粒,0.35g*12s*2板,国药准字Z20040063,月售35份,评分4,13.1,15.7
77,散利痛 复方对乙酰氨基酚片(Ⅱ) 20片,10S*2板,国药准字H20056948,月售17份,评分4,14.7,16
78,白加黑 阿司匹林维生素C泡腾片 0.4g*10片,0.4g*10片,国药准字H20130401,月售15份,评分4.4,18.5,
79,泰诺林 对乙酰氨基酚缓释片 0.65g*6粒,0.65g*6s异型（薄膜衣）,国药准字H20010394,月售13份,评分4,9.2,
80,仁和 感冒止咳糖浆 90ml,90mL,国药准字Z20055288,月售9份,评分4,26.8,
81,仁和可立克 风寒感冒颗粒 8g*9袋,每袋装8g,国药准字Z37020235,月售8份,评分4,26.5,
82,999 咽炎片 0.25g*48片,0.25g*12粒*4板（糖衣）,国药准字Z42021062,月售6份,评分4,28,
83,仁和 四季感冒胶囊 0.35 g*30粒,0.35G*30粒,国药准字Z20168001,月售6份,评分4.1,26.7,
84,泰诺林 对乙酰氨基酚缓释片 0.65g*18片,0.65g*6片*3板,国药准字Z20010394,月售5份,评分4,25.7,
85,仁和 复方桔梗止咳片 0.25g*18片*2板,18片/板*2板,国药准字Z41020720,月售5份,评分4.4,14.8,
86,艾纳香 咽立爽口含滴丸 25mg*72丸,25mg*36s*2瓶,国药准字Z20025286,月售5份,评分4,25,
